iter	Passed	Remaining
402	13819	37617
403	13853	37582
404	13889	37551
405	13924	37520
406	13957	37483
407	13992	37449
408	14026	37415
409	14060	37379
410	14092	37340
411	14126	37305
412	14160	37270
413	14193	37233
414	14228	37198
415	14261	37162
416	14297	37131
417	14332	37098
418	14366	37064
419	14401	37032
420	14441	37012
421	14477	36982
422	14512	36951
423	14549	36922
424	14587	36897
425	14623	36868
426	14659	36838
427	14696	36810
428	14732	36779
429	14768	36749
430	14805	36720
431	14842	36692
432	14878	36662
433	14913	36630
434	14949	36599
435	14985	36570
436	15020	36537
437	15055	36503
438	15089	36468
439	15123	36433
440	15157	36398
441	15192	36366
442	15227	36333
443	15262	36300
444	15302	36278
445	15337	36245
446	15372	36213
447	15430	36233
448	15469	36209
449	15508	36187
450	15553	36177
451	15595	36159
452	15634	36135
453	15668	36098
454	15704	36068
455	15740	36037
456	15777	36009
457	15813	35977
458	15848	35944
459	15881	35905
460	15915	35869
461	15948	35832
462	15983	35799
463	16017	35763
464	16051	35727
465	16084	35690
466	16119	35655
467	16153	35620
468	16187	35584
469	16220	35547
470	16253	35509
471	16287	35473
472	16319	35434
473	16353	35397
474	16387	35362
475	16422	35329
476	16456	35293
477	16489	35255
478	16523	35220
479	16558	35186
480	16593	35152
481	16629	35121
482	16670	35100
483	16704	35065
484	16737	35028
485	16772	34993
486	16805	34957
487	16840	34922
488	16873	34886
489	16906	34848
490	16940	34811
491	16973	34775
492	17008	34740
493	17041	34703
494	17074	34667
495	17109	34633
496	17143	34596
497	17177	34561
498	17210	34524
499	17245	34490
500	17277	34452
501	17311	34416
502	17346	34383
503	17381	34349
504	17416	34315
505	17451	34282
506	17486	34248
507	17519	34211
508	17553	34175
509	17587	34139
510	17620	34103
511	17654	34067
512	17688	34031
513	17722	33996
514	17757	33963
515	17791	33928
516	17826	33894
517	17860	33859
518	17895	33826
519	17931	33793
520	17966	33759
521	18002	33729
522	18039	33699
523	18073	33664
524	18107	33628
525	18142	33594
526	18174	33555
527	18208	33521
528	18243	33486
529	18276	33449
530	18310	33414
531	18344	33379
532	18380	33347
533	18414	33310
534	18447	33275
535	18481	33238
536	18515	33203
537	18547	33165
538	18581	33129
539	18614	33093
540	18648	33056
541	18682	33021
542	18716	32986
543	18750	32951
544	18783	32914
545	18826	32894
546	18861	32861
547	18894	32823
548	18927	32787
549	18961	32751
550	18994	32714
551	19028	32680
552	19061	32642
553	19095	32606
554	19128	32570
555	19162	32534
556	19194	32497
557	19228	32461
558	19261	32423
559	19293	32385
560	19327	32349
561	19360	32314
562	19392	32275
563	19426	32239
564	19460	32205
565	19494	32169
566	19527	32133
567	19563	32101
568	19597	32065
569	19631	32030
570	19666	31996
571	19699	31959
572	19733	31925
573	19767	31890
574	19802	31856
575	19836	31820
576	19870	31785
577	19904	31750
578	19939	31716
579	19973	31681
580	20008	31648
581	20041	31612
582	20074	31575
583	20109	31541
584	20142	31505
585	20176	31469
586	20208	31432
587	20243	31398
588	20277	31362
589	20310	31326
590	20344	31290
591	20378	31256
592	20413	31221
593	20447	31187
594	20482	31153
595	20517	31120
596	20551	31085
597	20584	31049
598	20619	31014
599	20653	30980
600	20686	30943
601	20718	30906
602	20753	30871
603	20787	30837
604	20821	30801
605	20855	30766
606	20888	30729
607	20920	30693
608	20954	30657
609	20986	30619
610	21019	30583
611	21052	30547
612	21085	30510
613	21118	30474
614	21152	30439
615	21185	30403
616	21218	30366
617	21251	30329
618	21284	30293
619	21317	30257
620	21351	30222
621	21384	30185
622	21418	30151
623	21453	30117
624	21487	30082
625	21520	30046
626	21554	30010
627	21587	29974
628	21621	29939
