iter	Logloss
0	0.6632152537
1	0.6355522051
2	0.6115463963
3	0.5879607749
4	0.5702698113
5	0.552903458
6	0.5375884412
7	0.5243330904
8	0.5115343573
9	0.5020012775
10	0.4938473241
11	0.4845669093
12	0.4777456973
13	0.4705358028
14	0.4648604236
15	0.4610203114
16	0.4552063272
17	0.4509474045
18	0.4473985651
19	0.4439596666
20	0.4407916642
21	0.4379563338
22	0.4348490344
23	0.4324268257
24	0.42965514
25	0.4275527073
26	0.4256339122
27	0.4234776922
28	0.4214268443
29	0.4196989477
30	0.4179955997
31	0.4161163925
32	0.4140860983
33	0.4119380407
34	0.4104543535
35	0.4095517913
36	0.4080745988
37	0.4067378804
38	0.4054350443
39	0.4045719322
40	0.40328409
41	0.4025547146
42	0.4019046759
43	0.3997251166
44	0.3987355329
45	0.3978254514
46	0.3971203607
47	0.3965759058
48	0.3961376997
49	0.3953417969
50	0.3948581963
51	0.3943548524
52	0.3939286276
53	0.3930421119
54	0.3926252734
55	0.3918612312
56	0.3909685432
57	0.3895221481
58	0.3891577835
59	0.3886071599
60	0.3883012605
61	0.3878639928
62	0.3873020941
63	0.3870441297
64	0.3867300365
65	0.3866400515
66	0.3860659383
67	0.3858599877
68	0.3856435448
69	0.3856210111
70	0.3852201592
71	0.384791949
72	0.3846273576
73	0.3843857726
74	0.3838697706
75	0.3836428651
76	0.3830735589
77	0.3822457681
78	0.38191889
79	0.3818024778
80	0.3814921427
81	0.3812155393
82	0.3811278421
83	0.3808850859
84	0.3805219553
85	0.3800957537
86	0.3799460757
87	0.3797452152
88	0.3787689593
89	0.3786543159
90	0.3786093891
91	0.378543111
92	0.3781957671
93	0.378056228
94	0.3779564358
95	0.3778405824
96	0.377139982
97	0.3769772966
98	0.3768403682
99	0.3766871341
100	0.3766044472
101	0.3765585869
102	0.3764140268
103	0.3757382215
104	0.3755311532
105	0.3754927572
106	0.3745559808
107	0.3744681992
108	0.3738708807
109	0.3732503694
110	0.3731761875
111	0.3723077636
112	0.3719356805
113	0.3717823045
114	0.371657869
115	0.3715191139
116	0.3712859211
117	0.3712511849
118	0.371171179
119	0.3709632358
120	0.3707752952
121	0.3704536086
122	0.3702024868
123	0.3699899268
124	0.369938482
125	0.3698756739
126	0.3697314268
127	0.3694253663
128	0.3688935026
129	0.3687067806
130	0.368572213
131	0.3680732584
132	0.3680523091
133	0.3678948913
134	0.3677940228
135	0.3676018201
136	0.367366551
137	0.3668954463
138	0.3667047296
139	0.3666575762
140	0.3665510659
141	0.3657573174
142	0.365633902
143	0.365303378
144	0.3652079484
145	0.3651612731
146	0.3651283891
147	0.3650684286
148	0.3649931172
149	0.3648246206
150	0.3642832196
151	0.3642254215
152	0.3641429357
153	0.3641060445
154	0.3638798015
155	0.363672984
156	0.3636237021
157	0.3635761952
158	0.3635138882
159	0.3634062283
160	0.3625770532
161	0.3621644621
162	0.3620169261
163	0.3618248397
164	0.3618134894
165	0.3616485413
166	0.3615942582
167	0.3615006472
168	0.3612727542
169	0.3611924214
170	0.3611629635
171	0.3604465219
172	0.360313415
173	0.3601355043
174	0.3586711147
175	0.35760657
176	0.357339132
177	0.3572980375
178	0.3567933931
179	0.3566973499
180	0.356541987
181	0.355865764
182	0.3557129859
183	0.355546478
184	0.3554077226
185	0.3551956257
186	0.3551035476
187	0.3546562154
188	0.3545197085
189	0.3544870811
190	0.3544688444
191	0.354359141
192	0.3542565944
193	0.354106862
194	0.3540799121
195	0.3539072921
196	0.3532076338
197	0.3530379816
198	0.3528225423
199	0.3521552978
200	0.3520125542
201	0.3510329791
202	0.3509012537
203	0.3506674222
204	0.350543267
205	0.3501013891
206	0.3499833248
207	0.3499373259
208	0.3497598364
209	0.3495930409
210	0.3490215389
211	0.348890551
212	0.3488709671
213	0.348732977
214	0.3487156715
215	0.3484921273
216	0.3476025601
217	0.3474251446
218	0.347372166
219	0.346722661
220	0.3465396427
221	0.3463414256
222	0.346161578
223	0.3461395622
224	0.3453626324
225	0.3452017843
226	0.3451210908
227	0.3450494694
228	0.3446967985
229	0.34467812
230	0.3444560865
231	0.3443044522
232	0.3439824012
233	0.3438389127
234	0.3436924616
235	0.342977949
236	0.3426578333
237	0.3423882903
238	0.3423622083
239	0.3423230277
240	0.3417128154
241	0.341373328
242	0.3412268849
243	0.3410846561
244	0.3410702252
245	0.3409185277
246	0.3408954136
247	0.340757053
248	0.3407453677
249	0.3407010779
250	0.3398424577
251	0.3396714899
252	0.3396243644
253	0.3394062526
254	0.3393272041
255	0.3388051142
256	0.3385159096
257	0.3383942318
258	0.3382541573
259	0.3382363954
260	0.3380841497
261	0.3379169336
262	0.3378087615
263	0.3376828228
264	0.3376763118
265	0.3375648073
266	0.3374682634
267	0.3372076724
268	0.3371645158
269	0.3370277979
270	0.3369698062
271	0.3362966322
272	0.3361279919
273	0.3361057116
274	0.3358977659
275	0.3357116242
276	0.3355235682
277	0.3353957435
278	0.3353806325
279	0.3346368877
280	0.3345474244
281	0.3341267857
282	0.3339237785
283	0.33391748
284	0.3339043938
285	0.3336713938
286	0.3336244557
287	0.3333982479
288	0.3328920778
289	0.3326884889
290	0.3324471516
291	0.331785578
292	0.3317407794
293	0.3311537459
294	0.3309590449
295	0.33083931
296	0.3307817895
297	0.3306454735
298	0.3306343058
299	0.3301191773
300	0.3301153638
301	0.3299503408
302	0.3298312634
303	0.3295846048
304	0.3294860127
305	0.3294041062
306	0.3290161048
307	0.3287925907
308	0.328072728
309	0.3277902784
310	0.3276662236
311	0.3275788104
312	0.3275720706
313	0.3274902344
314	0.3274683025
315	0.3272048373
316	0.3271370171
317	0.3267035265
318	0.3266999992
319	0.326598889
320	0.3260356204
321	0.3256445296
322	0.3255393987
323	0.3254104762
324	0.3251651547
325	0.3249689638
326	0.3249616377
327	0.3248886182
328	0.3245717105
329	0.3245057849
330	0.3244894186
331	0.3241137624
332	0.3238737233
333	0.3237516695
334	0.3237136582
335	0.3234400396
336	0.3231584582
337	0.3230634045
338	0.323043156
339	0.3229513907
340	0.3225478331
341	0.3224808278
342	0.3220983477
343	0.3217463835
344	0.3216061057
345	0.3215132054
346	0.3214740062
347	0.3211214784
348	0.3210093836
349	0.3206334862
350	0.3203126688
351	0.320284593
352	0.3201584274
353	0.319826653
354	0.3197748284
355	0.3196609883
356	0.3196155259
357	0.3193720586
358	0.3190200599
359	0.3189731556
360	0.3188972408
361	0.3186940924
362	0.3186686669
363	0.3186143616
364	0.3185436679
365	0.3185244425
366	0.3183787319
367	0.3182832117
368	0.3182060886
369	0.3181523514
370	0.3180565777
371	0.3178629261
372	0.3177303367
373	0.3177133556
374	0.3174610932
375	0.3173602237
376	0.3171994799
377	0.3171793014
378	0.3170951491
379	0.3170790794
380	0.3169315534
381	0.3164356746
382	0.3163184016
383	0.3161890582
384	0.316188868
385	0.3161565235
386	0.3160273253
387	0.3157721233
388	0.3154545608
389	0.3153948292
390	0.3153143629
391	0.3151779647
392	0.3151607637
393	0.3150647635
394	0.3150493167
395	0.3148200524
396	0.3144903752
397	0.3143621271
398	0.3142431788
399	0.3141899529
400	0.3140808817
401	0.3139790671
402	0.3138144115
403	0.3137559458
404	0.3135240372
405	0.3133925333
406	0.3132139054
407	0.3129339427
408	0.3127957473
409	0.3126729213
410	0.3126200595
411	0.3124167828
412	0.3122672723
413	0.3118175325
414	0.3117544149
415	0.3117396151
416	0.3114427862
417	0.311316237
418	0.3113124169
419	0.311195905
420	0.3111255087
421	0.3110390866
422	0.3109464291
423	0.3106538446
424	0.3105379134
425	0.3102702971
426	0.3101433933
427	0.3099670276
428	0.3098912791
429	0.3097721485
430	0.3097473043
431	0.3096289124
432	0.3096143387
433	0.3094910695
434	0.309436127
435	0.3092813565
436	0.3088488635
437	0.3083599327
438	0.3082458365
439	0.3082166726
440	0.3081896458
441	0.3079881262
442	0.3079196588
443	0.3078384024
444	0.3076175909
445	0.307531081
446	0.3074116848
447	0.3072004849
448	0.3069112844
449	0.3067929479
450	0.3067395146
451	0.306733305
452	0.3067275205
453	0.306714981
454	0.3066753052
455	0.3064381237
456	0.3063765573
457	0.3063273345
458	0.3062734393
459	0.306257424
460	0.3061694087
461	0.3061261536
462	0.3060527997
463	0.3056377391
464	0.305237502
465	0.3051626901
466	0.3051251912
467	0.3050600689
468	0.3050118636
469	0.3048348057
470	0.3047551471
471	0.3045102124
472	0.3044668239
473	0.3044459549
474	0.3042755215
475	0.3041690107
476	0.3039628874
477	0.3039281562
478	0.3037988268
479	0.3036570814
480	0.3035030604
481	0.3033623862
482	0.3032606572
483	0.3032461756
484	0.3031883047
485	0.3031404732
486	0.302919177
487	0.3026810203
488	0.3025544547
489	0.3025196892
490	0.3024267373
491	0.3024238228
492	0.3024030925
493	0.3023489141
494	0.3021680331
495	0.3021411988
496	0.3020278399
497	0.3018309
498	0.3016716254
499	0.3014632349
500	0.3013935397
501	0.3010556501
502	0.3009580508
503	0.3008634079
504	0.3004581534
505	0.3003818022
506	0.3003656954
507	0.3002794596
508	0.3000967621
509	0.3000377174
510	0.2997202653
511	0.2995288262
512	0.2995236386
513	0.29909274
514	0.2990509837
515	0.2990307134
516	0.298990992
517	0.2989210424
518	0.2987034588
519	0.2987000776
520	0.2983055949
521	0.2982871482
522	0.2981860342
523	0.2981519064
524	0.2980657297
525	0.297731891
526	0.2977200558
527	0.2976092956
528	0.2973697846
529	0.2970940994
530	0.2969019154
531	0.2968161874
532	0.2967075798
533	0.2966203139
534	0.296591705
535	0.296442211
536	0.2962085209
537	0.296031186
538	0.2959233787
539	0.2958434178
540	0.2956581153
541	0.2953789399
542	0.2953146452
543	0.2951814692
544	0.2951213979
545	0.2949909503
546	0.2949617665
547	0.2949495002
548	0.2948156821
549	0.2947231516
550	0.2947231489
551	0.2945828495
552	0.2945477328
553	0.2944474826
554	0.2941923558
555	0.294062499
556	0.2940486358
557	0.294010566
558	0.2939576841
559	0.2939056157
560	0.2937107113
561	0.2935907537
562	0.2935050672
563	0.293455904
564	0.293101107
565	0.2929402485
566	0.292756009
567	0.2925822552
568	0.2924751448
569	0.2923942363
570	0.2922492445
571	0.2922158946
572	0.2919863541
573	0.2918400329
574	0.2916945841
575	0.2914510314
576	0.2913275869
577	0.2911421154
578	0.2908745684
579	0.2906439627
580	0.2905360279
581	0.2903784975
582	0.2901739684
583	0.2901086564
584	0.2900032205
585	0.2899093047
586	0.2898916052
587	0.2896310803
588	0.2895732709
589	0.2895371758
590	0.2895022465
591	0.2894026459
592	0.2893598771
593	0.2889975631
594	0.2889546556
595	0.288776035
596	0.2885954771
597	0.288430965
598	0.2882898956
599	0.288268998
600	0.2878944052
601	0.2878588961
602	0.287770525
603	0.2876640913
604	0.2875536808
605	0.287333662
606	0.2872551384
607	0.2871760323
608	0.2871603401
609	0.2870328427
610	0.2869755615
611	0.2869405907
612	0.2869180596
613	0.2867821787
614	0.2866274074
615	0.2864725955
616	0.2864240273
617	0.2862365227
618	0.2860918145
619	0.2860596511
620	0.2860148103
621	0.2857951414
622	0.2857795445
623	0.285555981
624	0.2855122486
625	0.2850666933
626	0.2849388609
627	0.2848789405
628	0.2848382236
629	0.2847807085
630	0.2846185212
631	0.2845509969
632	0.2843996692
633	0.2842570703
634	0.284180146
635	0.2841684137
636	0.2840936804
637	0.2840696709
638	0.2840083295
639	0.2839836776
640	0.2838107249
641	0.2837351257
642	0.2836733736
643	0.2835005736
644	0.28339578
645	0.2833664455
646	0.2833531331
647	0.2833304946
648	0.2830305606
649	0.283030558
650	0.2828565309
651	0.2828380256
652	0.2827391975
653	0.2825786175
654	0.2825673003
655	0.2825158216
656	0.2823717441
657	0.2821314865
658	0.2820395695
659	0.281975077
660	0.2819329081
661	0.2816846926
662	0.281574217
663	0.2815159057
664	0.2814445132
665	0.2811367198
666	0.2810646543
667	0.2810466722
668	0.2808763103
669	0.2807576901
670	0.2806116571
671	0.2805766821
672	0.2804627686
673	0.2803067802
674	0.2802250497
675	0.2800973952
676	0.2797586208
677	0.2797342868
678	0.2797172676
679	0.2796910276
680	0.2796121646
681	0.279516637
682	0.2794610421
683	0.2793843729
684	0.2792737717
685	0.2790397595
686	0.2788968923
687	0.2786024399
688	0.2784724945
689	0.2783779237
690	0.2782115621
691	0.2781802725
692	0.2779952475
693	0.2779062004
694	0.2775756757
695	0.2774538049
696	0.277359849
697	0.2772102828
698	0.2771917689
699	0.2770525381
700	0.2770212578
701	0.2769101839
702	0.276664195
703	0.276664184
704	0.276603223
705	0.2765894224
706	0.2764043488
707	0.2763207612
708	0.2761920917
709	0.2760934318
710	0.2760215878
711	0.2759484257
712	0.2759371199
713	0.2758353294
714	0.2757984953
715	0.2757717481
716	0.2755824616
717	0.2754508188
718	0.2754098299
719	0.2751983324
720	0.2750094517
721	0.2748852084
722	0.2748340653
723	0.2747851545
724	0.2747331821
725	0.2742882955
726	0.274115924
727	0.2740839666
728	0.2740709538
729	0.273691242
730	0.2735897719
731	0.2734224818
732	0.2733862852
733	0.2733047113
734	0.2731748129
735	0.2730994143
736	0.2729200566
737	0.2728588214
738	0.2727578406
739	0.272721814
740	0.272523096
741	0.2723712228
742	0.2723008973
743	0.2722538941
744	0.272163878
745	0.2718714737
746	0.271867428
747	0.2718341165
748	0.2718084376
749	0.2715941881
750	0.2715338777
751	0.2715072413
752	0.2715072361
753	0.2714207144
754	0.2713908269
755	0.271384539
756	0.2709593832
757	0.2708442094
758	0.2708069596
759	0.2707099072
760	0.2703387102
761	0.2703072914
762	0.2702197483
763	0.2700653425
764	0.2699564872
765	0.2698664668
766	0.2696697103
767	0.2695377201
768	0.2695091191
769	0.2692511513
770	0.2688583908
771	0.2687417581
772	0.2687367489
773	0.2686520096
774	0.2686417197
775	0.2686049315
776	0.2684759445
777	0.2683934697
778	0.2682567386
779	0.2681768882
780	0.2681198081
781	0.2679740431
782	0.2678781388
783	0.2678100309
784	0.2677929742
785	0.2676545121
786	0.2675963963
787	0.2675376213
788	0.2674508368
789	0.2670796586
790	0.2669744933
791	0.2668731388
792	0.2668654377
793	0.2667252402
794	0.2666286734
795	0.266601056
796	0.2665348971
797	0.2665306505
798	0.2664334055
799	0.2663607421
800	0.2663320887
801	0.2662344718
802	0.2662183167
803	0.2661594495
804	0.2660827149
805	0.266027901
806	0.2657307301
807	0.2657234101
808	0.2657085153
809	0.2657076028
810	0.2654198436
811	0.2653914969
812	0.2653657028
813	0.2652782932
814	0.265242462
815	0.2652344911
816	0.265198395
817	0.2651916518
818	0.2649525346
819	0.264939249
820	0.2649092328
821	0.2648994822
822	0.2648599252
823	0.2647889872
824	0.2646913576
825	0.2646519468
826	0.2646176218
827	0.2645579222
828	0.2644314884
829	0.2644244564
830	0.2642274168
831	0.2641723953
832	0.2640776201
833	0.2640712503
834	0.2638949935
835	0.2637792797
836	0.2637106141
837	0.2636184981
838	0.2635472872
839	0.2635425989
840	0.2634762606
841	0.263326141
842	0.2632655601
843	0.2632239174
844	0.2631175623
845	0.2628485933
846	0.2628374775
847	0.2627722203
848	0.2627673249
849	0.2626434304
850	0.2626289283
851	0.2625519673
852	0.262329857
853	0.2622325039
854	0.2621356665
855	0.2621080333
856	0.2620888634
857	0.2620075096
858	0.2619253848
859	0.2617953746
860	0.2617437042
861	0.2613653108
862	0.2610429041
863	0.2609536847
864	0.2607979418
865	0.2607296527
866	0.2606556106
867	0.2606351738
868	0.2604731875
869	0.2604102055
870	0.2603090414
871	0.2602877499
872	0.2602032149
873	0.2600844
874	0.2600723003
875	0.2600038347
876	0.2598962888
877	0.2598200582
878	0.2597673632
879	0.2594481267
880	0.2594128706
881	0.2593577014
882	0.2591274783
883	0.2590481489
884	0.2588230226
885	0.2587703694
886	0.2587461474
887	0.2584956784
888	0.2584591435
889	0.258387049
890	0.2580981465
891	0.2580475855
892	0.2579395428
893	0.2579104065
894	0.2577785796
895	0.2577485858
896	0.2576965153
897	0.2576743695
898	0.2575304403
899	0.2574831796
900	0.2574323041
901	0.2572980603
902	0.2572850641
903	0.2571100514
904	0.2570877452
905	0.2570823252
906	0.2569736124
907	0.2568078901
908	0.2567936935
909	0.2567677126
910	0.2567667535
911	0.2567074609
912	0.2565844893
913	0.2562658608
914	0.2562033692
915	0.2561175935
916	0.2560978226
917	0.2560407457
918	0.2559826137
919	0.2559456018
920	0.255861439
921	0.2558420594
922	0.2557546789
923	0.2556218811
924	0.255616541
925	0.2555238919
926	0.2554639458
927	0.2554216787
928	0.2552062114
929	0.2551327992
930	0.2550955612
931	0.2550440324
932	0.2549921707
933	0.2549761976
934	0.2549630588
935	0.2549405171
936	0.2548669517
937	0.2547528457
938	0.2547501068
939	0.2546851521
940	0.254533742
941	0.2544920891
942	0.254470823
943	0.2543496409
944	0.2543297346
945	0.2543257653
946	0.2542877248
947	0.2542671974
948	0.2542461331
949	0.254187918
950	0.254178777
951	0.254094985
952	0.2538879309
953	0.2537678845
954	0.2537507856
955	0.2537507812
956	0.2536832638
957	0.253619479
958	0.2533634592
959	0.2532526186
960	0.2531774226
961	0.2531544902
962	0.2531077731
963	0.2530737778
964	0.253053313
965	0.2529959024
966	0.2528461901
967	0.2528170936
968	0.2527711932
969	0.2526400378
970	0.2526302537
971	0.2524001811
972	0.2523078122
973	0.2523023591
974	0.2522892278
975	0.2521367659
976	0.2521357704
977	0.2521073611
978	0.2520336559
979	0.2519600445
980	0.2519007651
981	0.2518768165
982	0.2518121204
983	0.2517873223
984	0.2517041911
985	0.2514469813
986	0.2514416791
987	0.2514089211
988	0.2513659193
989	0.2512732269
990	0.2512517339
991	0.2511592694
992	0.2510917914
993	0.2508247107
994	0.2508247006
995	0.2507391278
996	0.2506719477
997	0.2505982247
998	0.250476849
999	0.2504163209
1000	0.2503964761
1001	0.250340615
1002	0.2502661276
1003	0.2501245383
1004	0.250082636
1005	0.2499626737
1006	0.2499255878
1007	0.2499120138
1008	0.2499060728
1009	0.2498568954
1010	0.2498468415
1011	0.2497355719
1012	0.2497056111
1013	0.2496977774
1014	0.2496467576
1015	0.2496395861
1016	0.2496322428
1017	0.2496216279
1018	0.2493670577
1019	0.2493413427
1020	0.2492357917
1021	0.2492349435
1022	0.2491822681
1023	0.2491694022
1024	0.2491014814
1025	0.2490307824
1026	0.2490078921
1027	0.2489809116
1028	0.2488932993
1029	0.2488431966
1030	0.2488268501
1031	0.2487598399
1032	0.2487003818
1033	0.2486406923
1034	0.2485853829
1035	0.248489409
1036	0.2484669776
1037	0.2482367685
1038	0.248029896
1039	0.2478039425
1040	0.2477570106
1041	0.2475271052
1042	0.2475207573
1043	0.2475075508
1044	0.2474973522
1045	0.2474584061
1046	0.247345592
1047	0.2470447407
1048	0.2469936155
1049	0.246858315
1050	0.2468571496
1051	0.2468049421
1052	0.2467534162
1053	0.2467010546
1054	0.2466002357
1055	0.2465204556
1056	0.2464940713
1057	0.2464148234
1058	0.2463021325
1059	0.246205609
1060	0.2461270302
1061	0.2460308197
1062	0.2460058212
1063	0.2459964609
1064	0.2459773164
1065	0.2458787491
1066	0.2457717452
1067	0.2457189865
1068	0.24566666
1069	0.2456098948
1070	0.2453778494
1071	0.245271538
1072	0.2452665672
1073	0.2452620457
1074	0.2452036979
1075	0.2451807982
1076	0.2450763326
1077	0.2449705532
1078	0.2449322348
1079	0.2448846537
1080	0.2447386694
1081	0.244696051
1082	0.2446284241
1083	0.2444609126
1084	0.2444490726
1085	0.2444298243
1086	0.2443468541
1087	0.2442902776
1088	0.2441942458
1089	0.2441343581
1090	0.2440560757
1091	0.2440172103
1092	0.2438264165
1093	0.2437503787
1094	0.2436975096
1095	0.2436731704
1096	0.2436478994
1097	0.2436413794
1098	0.2435882512
1099	0.2435557149
1100	0.2434162788
1101	0.2433124185
1102	0.2432646792
1103	0.2430560685
1104	0.2429968099
1105	0.2428747972
1106	0.2426753902
1107	0.2425778211
1108	0.242540823
1109	0.2424662479
1110	0.2424280326
1111	0.2424051672
1112	0.2423571008
1113	0.2423072069
1114	0.2421930453
1115	0.2421663505
1116	0.2421125165
1117	0.2420793346
1118	0.2419524531
1119	0.2419168726
1120	0.2418976696
1121	0.241809767
1122	0.241722006
1123	0.2416602694
1124	0.2415663
1125	0.2415027204
1126	0.2414196011
1127	0.2414044263
1128	0.2413463573
1129	0.2413029873
1130	0.2412267646
1131	0.2411367972
1132	0.2410136019
1133	0.2409598474
1134	0.2409303238
1135	0.240860664
1136	0.2408310008
1137	0.2408224806
1138	0.2407762119
1139	0.2407462083
1140	0.2405703306
1141	0.2405245125
1142	0.240505169
1143	0.2401984336
1144	0.2401521512
1145	0.2400917215
1146	0.2399854829
1147	0.2399681876
1148	0.2399675063
1149	0.2399345595
1150	0.2398891108
1151	0.2398630254
1152	0.2398581515
1153	0.2398236594
1154	0.2398141825
1155	0.2398036841
1156	0.2397992447
1157	0.2397598376
